root_id,super_class,cell_class,cell_type,top_nt,top_nt_conf,side,nerve
720575940628307026,optic,LOP>ME.LO,Am1,gaba,0.8753732832984362,right,
720575940605793894,optic,LO>LOP,T5b,acetylcholine,0.6523695917417704,right,
720575940605819680,optic,ME>LO.LOP,TmY5a,glutamate,0.6635911261794887,right,
720575940600071689,optic,LO>LOP,T5b,acetylcholine,0.5741168702153358,right,
720575940600124169,optic,LO>LOP,T5b,acetylcholine,0.5817661026207082,right,
720575940603714652,optic,LO>LOP,T5b,acetylcholine,0.6076189168263877,right,
720575940616904889,optic,LO>LOP,T5b,acetylcholine,0.748678852063863,right,
720575940616949977,optic,ME>LOP,T4b,acetylcholine,0.7049551939813339,right,
720575940616154580,optic,ME>LO.LOP,TmY5a,glutamate,0.5531878852025055,right,
720575940616163189,optic,ME>LO.LOP,TmY5a,glutamate,0.562958758357506,right,
720575940616174292,optic,LO>LOP,T5b,acetylcholine,0.4672437820297305,right,
720575940616219353,optic,LO>LOP,T5b,acetylcholine,0.7299938538290902,right,
720575940616300230,optic,ME>LO,TmY5a,glutamate,0.5832755977809405,right,
720575940617109435,optic,ME>LO.LOP,TmY5a,glutamate,0.7070248771849951,right,
720575940617109691,optic,ME>LO.LOP,TmY5a,glutamate,0.6737125455551971,right,
720575940617110233,optic,LO>LOP,T5b,acetylcholine,0.5065591521947119,right,
720575940617161617,optic,ME>LO.LOP,TmY5a,glutamate,0.618673999010821,right,
720575940634866799,optic,LO>LOP,T5b,acetylcholine,0.5642499051305624,right,
720575940634895002,optic,LO>LOP,T5b,acetylcholine,0.603418581736995,right,
720575940634922906,optic,ME>LOP,T4b,acetylcholine,0.6584880209362933,right,
720575940652678390,optic,ME>LO.LOP,TmY5a,glutamate,0.6763921352283726,right,
720575940654668193,optic,LO>LOP,T5b,acetylcholine,0.6198898375646693,right,
720575940658428033,optic,ME>LOP,T4b,acetylcholine,0.5917821051865089,right,
720575940634694240,optic,ME>LO.LOP,TmY5a,glutamate,0.5457520820817986,right,
720575940634737633,optic,ME>LO.LOP,TmY5a,glutamate,0.6643979685355539,right,
720575940605547552,optic,ME>LOP,T4b,acetylcholine,0.5375157624114493,right,
720575940647826052,optic,ME>LOP,T4b,acetylcholine,0.5084790539759094,right,
720575940647828356,optic,LO>LOP,T5b,acetylcholine,0.7298150226450872,right,
720575940647935028,visual_projection,bilateral,LT66,acetylcholine,0.8614002506925973,left,
