BANC,FAFB,MCNS
720575941688977932,720575940628307026,10085
720575941402435619,720575940605793894,19763
720575941401093155,720575940605819680,19230
720575941400396067,720575940600071689,18451
720575941351325232,720575940600124169,10771
720575941721542970,720575940603714652,586607
720575941721929530,720575940616904889,588416
720575941488679989,720575940616949977,900213
720575941486968717,720575940616154580,96822
720575941486705872,720575940616163189,96804
720575941486279430,720575940616174292,96604
720575941486171654,720575940616219353,96518
720575941572724637,720575940616300230,96258
720575941572359176,720575940617109435,95901
720575941637466485,720575940617109691,535258
720575941568398324,720575940617110233,97994
720575941489829326,720575940617161617,97746
720575941528518840,720575940634866799,143792
720575941535928547,720575940634895002,12375
720575941534255626,720575940634922906,581559
720575941537689493,720575940652678390,147063
720575941537374706,720575940654668193,146627
720575941536461283,720575940658428033,146536
720575941536431848,720575940634694240,145810
720575941536351459,720575940634737633,145685
720575941536172008,720575940605547552,145359
720575941412581268,720575940647826052,145341
720575941391104516,720575940647828356,24258
720575941351717168,720575940647935028,23577
720575941624410220,720575940648290436,580082
720575941624350875,720575940649378681,576105
720575941624312172,720575940650510326,575751
720575941701333978,720575940652632566,21008
720575941538705045,720575940633297107,150684
720575941538627965,720575940636024671,138756
720575941527995320,720575940633442335,147597
720575941527762854,720575940633446431,141472
720575941688654299,720575940633497826,141325
720575941688493686,720575940633498849,31347
720575941624286922,720575940633499929,31019
720575941624231626,720575940632971591,30747
720575941624107978,720575940633078829,29844
720575941622982652,720575940633142497,29832
720575941622648316,720575940633148638,565496
720575941622589180,720575940607584898,563788
720575941622490876,720575940607638485,559245
720575941618729599,720575940606077374,558561
720575941686930038,720575940634034457,29163
720575941686861324,720575940633602131,142777
720575941643694930,720575940631778444,137351
720575941527403686,720575940631402956,137051
720575941431155726,720575940631884818,136363
720575941618236543,720575940631888524,138485
720575941617237717,720575940632076089,138398
720575941616266709,720575940632079540,138173
720575941615938005,720575940631642220,137411
720575941615775701,720575940631674593,34988
720575941429789688,720575940631723821,34813
720575941688980120,720575940632370605,34478
720575941688939739,720575940632632365,34282
720575941528402104,720575940632114755,34194
720575941528112824,720575940647630724,32570
720575941538977405,720575940647685172,32279
